"PassengerId","Survived"
1,"0"
2,"1"
6,"0"
9,"1"
10,"1"
13,"0"
14,"0"
15,"1"
16,"1"
21,"0"
24,"0"
27,"0"
29,"1"
30,"0"
32,"1"
33,"1"
41,"1"
42,"1"
46,"0"
52,"0"
54,"1"
56,"0"
57,"1"
60,"0"
61,"0"
62,"1"
64,"0"
65,"0"
67,"1"
78,"0"
82,"0"
89,"1"
90,"0"
94,"0"
96,"0"
97,"0"
99,"1"
103,"0"
105,"0"
106,"0"
107,"1"
109,"0"
111,"0"
112,"1"
117,"0"
123,"0"
128,"0"
131,"0"
133,"1"
138,"0"
142,"1"
144,"0"
147,"0"
148,"0"
149,"0"
151,"0"
157,"1"
161,"0"
163,"0"
167,"1"
170,"1"
172,"0"
174,"0"
176,"0"
180,"0"
181,"0"
185,"1"
192,"0"
203,"0"
207,"0"
210,"0"
212,"1"
216,"1"
220,"0"
223,"0"
226,"0"
234,"0"
237,"0"
241,"1"
245,"0"
247,"1"
249,"0"
252,"1"
256,"0"
257,"1"
258,"1"
259,"1"
265,"1"
266,"0"
267,"0"
281,"0"
285,"0"
288,"0"
290,"1"
297,"0"
303,"0"
305,"0"
309,"0"
311,"1"
317,"1"
321,"0"
331,"1"
343,"0"
346,"1"
353,"0"
355,"0"
358,"1"
363,"1"
374,"0"
377,"1"
378,"0"
380,"0"
387,"0"
391,"0"
399,"0"
400,"1"
403,"0"
406,"0"
407,"0"
408,"1"
412,"0"
415,"0"
417,"1"
421,"0"
423,"0"
424,"1"
430,"0"
431,"1"
432,"1"
433,"1"
436,"1"
437,"0"
441,"1"
444,"1"
447,"1"
449,"1"
450,"0"
452,"0"
454,"0"
459,"1"
460,"0"
462,"0"
465,"0"
466,"0"
469,"0"
475,"1"
476,"0"
479,"0"
481,"0"
486,"0"
492,"0"
494,"0"
496,"0"
499,"1"
501,"0"
505,"1"
506,"1"
509,"0"
510,"1"
515,"0"
516,"0"
519,"1"
525,"0"
531,"1"
535,"0"
540,"1"
547,"1"
548,"0"
549,"0"
552,"0"
555,"1"
557,"1"
562,"0"
564,"0"
565,"1"
572,"1"
575,"0"
576,"0"
577,"1"
579,"1"
581,"1"
582,"1"
584,"0"
589,"0"
591,"0"
593,"0"
597,"1"
599,"0"
601,"1"
602,"0"
612,"0"
614,"0"
616,"1"
621,"0"
624,"0"
627,"0"
635,"0"
638,"0"
646,"0"
660,"0"
664,"0"
668,"0"
669,"0"
670,"1"
674,"0"
675,"0"
679,"0"
688,"0"
690,"1"
697,"0"
700,"0"
703,"1"
716,"0"
718,"1"
729,"0"
730,"1"
732,"0"
735,"0"
736,"0"
737,"0"
743,"1"
746,"1"
751,"1"
753,"0"
761,"0"
762,"0"
763,"0"
767,"1"
774,"0"
776,"0"
777,"0"
781,"1"
786,"0"
787,"1"
792,"0"
793,"0"
794,"0"
798,"0"
801,"0"
812,"0"
813,"0"
815,"0"
816,"0"
818,"0"
822,"0"
826,"0"
829,"0"
833,"0"
834,"0"
836,"1"
837,"0"
838,"0"
840,"0"
842,"0"
843,"1"
847,"0"
850,"1"
854,"1"
855,"1"
859,"1"
862,"0"
870,"1"
875,"1"
876,"1"
879,"0"
882,"0"
885,"0"
